state,district,disease,no_of_cases,no_deaths,start_of_outbreak,reporting_data,status,action
,Raigad,xvii. Fever,17,0,23/03/13,28/03/13,Under control,"Cases reported from Village Ghotgaon, PHC Wawanje, Block Panvel, District Raigad. Medical team investigated the outbreak. Active search for fever cases done. Cases were migrant labourers. Cases treated at local health centre. All 17 blood smears collected tested negative for malaria. Anti-larval activities done in the affected area. IEC done."
Rajasthan,Jaipur,xviii. Food Poisoning,20,0,21/03/13,23/03/13,Under control,"Outbreak of loose motion & vomiting reported from Bodh Parisar School, SC Kukas, CHC/Block Amer, District Jaipur due to consumption of contaminated food in mid day meal. Medical team investigated the outbreak. Cases treated locally. Medicine and ORS packets given to cases. Health education given to school authorities and children regarding food hygiene."
Tamil Nadu,Ramanathapur am,xix. Chikunguny a,10,0,25/03/13,28/03/13,Under control,"Cases reported from Village Tholur, SC Nedunkulam, PHC Pambur, Block Paramakudi, District Ramanathapuram. Medical team investigated the outbreak. Active search for fever cases done in the affected area. Cases treated symptomatically. All 4 serum samples collected were positive for Chikungunya (IgM ELISA). Anti-larval activities done. IEC done."
,,xx. Fever,31,0,28/03/13,30/03/13,Under control,"Outbreak of fever reported from Village Valinokkam, SC Keelamunthal, PHC Valinokkam, Block Paramakudi, District Ramanathapuram. District RRT investigated the outbreak. House to house fever survey done. Temporary medical camp established in the locality. Cases treated. 25 blood samples collected 2 were positive for widal. Chlorine tablets distributed in the community. Health education given regarding safe drinking water, hygiene and sanitation."
,Tiruchirappalli,xxi. Fever,29,0,21/03/13,25/03/13,Under control,"Outbreak fever with arthralgia and headache reported from Village Vaiyampatti, SC Ayyam, PHC Raddiyapatti, Block Gandhinagar, District Tiruchirapalli. District RRT investigated the outbreak. House to house fever survey done. All 19 blood smears examined tested negative for malaria. 5 serum samples collected and sent to ZET Trichy; result awaited. Anti-larval activities using temephos done in the affected area."
,,xxii. Fever,11,0,28/03/13,30/03/13,Under control,"Cases of fever with joint pain and swelling reported from Village/ SC Aniyappur, PHC Pannapatti, Block Alagappanayakanpatti, District Tiruchirapalli. Medical team investigated the outbreak. Cases treated at local health centre. 11 blood smears collected which tested negative for malaria. 3 serum samples collected and sent to KAPV Medical college Tiruchirapalli; result awaited. Temephos application and fogging done in the affected area."
Kerala,,xxiv. Chickenpox,22,0,15/03/13,,Under control,"Outbreak of fever with rash reported from Tata Consultancy Services Ltd. (TCS) Technopark Campus, PHC Veli, District Thiruvananthapuram. Medical team investigated the outbreak. Cases treated locally. Health education given regarding isolation of cases."
Maharashtra,Raigad,xxv. Dengue,22,0,16/03/13,,Under control,"Outbreak reported from Village Nagaon, PHC Vinhere, Block Mahad, District Raigad. District RRT investigated the outbreak. House to house fever survey done by paramedical team. Cases treated at local health centre. Out of 6 serum samples collected and sent to NIV Pune, 4 samples were positive for Dengue (IgM ELISA). Fogging done in the affected area."
,,xxvi. Dengue,14,0,16/03/13,,Under control,"Cases reported from Village Dighewadi, PHC Pali, Block Sudhagad, District Raigad. Medical team investigated the outbreak. Active search for fever cases done. Cases treated symptomatically. Out of 4 serum samples collected and sent to NIV Pune, 2 samples were positive for Dengue (IgM ELISA). Fogging done in the affected area. IEC done."
,,xxvii. Viral Hepatitis A & E,16,0,12/03/13,,Under control,"Cases of jaundice reported from Village/SC Nevrul, PHC/Block Mhasala, District Raigad. District RRT investigated the outbreak. House to house survey done. Cases treated locally. Out of 10 serum samples collected, 4 serum samples were positive for Hepatitis A and 1 sample for Hepatitis E (IgM ELISA). Chlorination of water sources done. Health education given regarding safe drinking water, hygiene and sanitation."
Odisha,Cuttack,xxviii. Viral Hepatitis E,32,1,05/03/13,,Under control,"Outbreak of jaundice reported from urban area Malla Sahi, Cuttack Municipal Corporation, Block/District Cuttack. District RRT investigated the outbreak. Pipe leakage was observed in the locality. Cases treated symptomatically. All 5 serum samples were positive for Hepatitis E (IgM ELISA). Chlorine tablets distributed in the community. Chlorination of water sources done by Cuttack Municipal Corporation. Pipeline leakage repaired by PHED. IEC activities undertaken regarding use of boiled water for drinking purpose, hygiene and sanitation."
Gujarat,Rajkot and several districts,Influenza A H1N1,890,169,01/01/13,,Under Surveilla nce,"Influenza A H1N1 positive cases have started declining in Gujarat in last week of March. A total of 890 cases and 169 deaths have been reported upto 13th week (ending 31st March 2013). The samples tested in NIV, Pune have shown that the virus continue to remain sensitive to Oseltamivir."
Andhra Pradesh,Mahabubnaga r,i Chikungunya,23,0,01/04/13,07/04/13,Under control,"Outbreak of fever with joint pain reported from Village Ammireddypally, PHC Kotakonda, Block Narayanpet, District Mahabubnagar. Medical team investigated the outbreak. House to house fever survey done. Temporary medical camp established in the community. Entomological survey done (CI 33%). Cases treated symptomatically. All 15 blood smears examined were negative for malaria. Out of 10 serum samples collected, 3 samples were positive for Chikungunya. Anti larval operation done. Health education given."
,Nellore,ii Food Poisoning,37,0,31/03/13,07/04/13,Under control,"Outbreak of loose motion vomiting and abdominal pain reported from Village Narukuru, SC Peduru, PHC Varigonda, Block T.P. Gudur, District Nellore, due to consumption of contaminated food Prasad (lemon rice). Medical team investigated the outbreak. House to house survey done. Cases treated symptomatically. Medical camps organized. Health education given regarding safe food habits."
,Nizamabad,iii Dengue,17,0,02/04/ 13,07/04/13,Under control,"Cases of fever with body pain reported from Village Narsinpur, SC Rampur, PHC Indalwai, District Nizamabad. District RRT investigated the outbreak. House to house survey done. Cases treated symptomatically. Out of 6 serum samples collected 2 samples were positive for Dengue (IgM ELISA). Anti larval operation and fogging done. Health education given."
Assam,Barpeta,iv Chickenpox,10,0,29/03/13,06/04/13,Under control,"Cases reported from Village Siloci Pathar, SC Morabhaj, District Barpeta. District RRT investigated the outbreak. House to house fever survey done. Cases treated at local health centre. Health education given regarding isolation of cases."
Bihar,Araria,v Chickenpox,36,0,02/04/13,05/04/13,Under control,"Outbreak reported from Village Chandarpur (Ward No-2), SC Kawaiya, PHC Ghaghi, District Araria. District RRT investigated the outbreak. House to house survey done. Cases treated locally. IEC done regarding isolation and early treatment of cases."
,Banka,vi Chickenpox,22,0,07/04/13,07/04/13,Under control,"Cases reported from Village Yogidih, SC Dudhari, PHC Banka, District Banka. District RRT investigated the outbreak. House to house survey done. Cases treated locally. IEC done regarding isolation and early treatment of cases."
,Lakhisarai,vii Chickenpox,15,0,01/04/13,06/04/13,Under control,"Outbreak of fever with vesicular rash reported from Village Narayanpur, SC/ PHC Ramgargh, District Lakhisarai. District RRT investigated the outbreak. House to house survey done. Cases treated locally. Affected cases were children below 15 years of age. IEC done regarding isolation of cases."
,Vaishali,viii Chickenpox,12,0,30/03/13,05/04/13,Under control,"Cases of fever with vesicular rash reported from Village Bajitpur, PHC Sahdei-buzurg, District Vaishali. Cases treated locally. Affected cases were below 17 years of age. IEC done regarding isolation of cases."
Gujarat,Kheda,ix Chikungunya ?,22,0,03/04/13,03/04/13,Under control,"Cases of fever with joint pain reported from Village & SC Baroda Limbasi, PHC/Block Matar, Distrcit Kheda. Medical team investigated the outbreak. House to house fever survey done. Cases treated at local health centre. Out of 2 serum samples collected, 1 sample was positive for Chikungunya. Anti-larval activities and fogging done in the affected area."
,Mehsana,x Chikungunya,39,0,02/04/13,03/04/13,Under control,"Cases of fever with joint pain reported from Village Mandali, SC Ambala, PHC Adivada, Block Becharaji, Distrcit Mehsana. District RRT investigated the outbreak. Active search for fever cases done. Cases treated symptomatically. Entomological survey done. Out of 5 serum samples collected 3 samples were positive for Chikungunya (IgM ELISA). Anti-larval activities and fogging done in the affected area. IEC done."
,,xi Chikungunya,27,0,03/04/13,06/04/13,Under control,"Cases of fever with joint pain reported from Village/SC/PHC Karannagar, Block Kadi, District Mehsana. Medical team investigated the outbreak. House to house survey done. Cases treated symptomatically. Entomological survey done. Out of 10 serum samples collected 7 samples were positive for Chikungunya (IgM ELISA). Anti-larval activities and fogging done in the affected area. IEC done."
,,xii Chikungunya,46,0,03/04/13,06/04/13,Under control,"Cases of fever with joint pain reported from Village & SC Vamaj, PHC Karannagar, Block Kadi, district Mehsana. Medical team investigated the outbreak. House to house survey done. Cases treated symptomatically. Out of 5 serum samples collected 2 samples were positive for Chikungunya (IgM ELISA). Anti-larval activities and fogging done in the affected area. IEC done."
,Surendranagar,xiii Measles,10,0,06/04/13,06/04/13,Under control,"Cases of fever with rash reported from Village Nava Aenjar, PHC Tilak Ranmalpur, Block Halwad, District Surendranagar. District RRT investigated the outbreak. House to house fever survey done. Cases treated locally. All cases were less than 15 years of age. Vitamin A solution given to cases. Health education given regarding isolation of cases."
